# Summary generated on 2022-03-16 17:49:26.628043 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20220304220741_yrPTs; 2459643.422013203148; 2022-03-04 22:07:41.940752;    -1;  ...; 344.006394; 131.561475; 135.32643;  5.6718; +82.71863;  0.5491; 100.71527;  1.0887; +61.00374;  0.7796;   8.04725;  0.0734;  76.26737;  0.1064; +11.84597;  0.2020;  34.28377;  0.0668;    1.445509;  0.0111;   0.316075;  0.0051;  11.854912;  0.2026; 189.232003;   0.4521; 344.009170;   0.0001; 173.241172;  0.4521;  -1.888714;  0.1135;   0.988621;  0.0003; 350.763631;  0.4521; 355.436710;  0.2456;    1.902398;  0.0222;   0.567117;  0.0063;   1.737929;  0.0203;   4.578983;  0.0245; 138.65005;  2.6389; +75.74875;  0.3878;   4.04406;  1.5801;  64.48414;  0.3924;  13.73850;  0.0428;  13.16783;  0.0070;    50.393073;  0.0002;    -3.008825;  0.0006;  72.3119;    0.02;    50.357839;  0.0004;    -3.012873;  0.0010;  63.9963;    0.03;     0.71;  +1.04;  67.5561; 0.572; 3.80e-04; 63.81;        53.74;   True;   True;    3; UK000H,UK003C,UK003E
20220304221458_vpeSU; 2459643.427063856740; 2022-03-04 22:14:58.317222;    -1;  ...; 344.011458; 134.337063; 171.59447;  0.4855;  -0.16400;  0.4312; 172.34401;  0.6152;  -3.48393;  0.2109;  26.21448;  0.2069; 118.13556;  0.0210;  -2.49543;  0.1545;  36.60422;  0.3485;    1.974829;  0.1181;   0.782141;  0.0097;   3.475270;  0.2143; 106.875955;   1.3002; 163.994521;   0.0010; 270.870476;  1.3012;   3.325437;  0.1853;   0.430234;  0.0056; 253.139570;  1.3012; 344.094463;  1.4751;    3.519425;  0.2306;   0.355149;  0.0300;   2.775205;  0.2524;   3.401556;  0.1429; 171.20510;  0.4511;  +2.02316;  0.3735; 134.93071;  0.2879;  32.11972;  0.5334;  28.64729;  0.1905;  28.35439;  0.1540;    50.904787;  0.0004;    -2.072356;  0.0002;  98.9706;    0.13;    51.004114;  0.0001;    -2.230399;  0.0007;  89.0205;    0.09;     0.73;  +2.07;  94.6892; 0.430; 3.14e-05; 15.67;        57.23;   True;   True;    2; UK003M,UK003Z
20220304221734_ii908; 2459643.428870188072; 2022-03-04 22:17:34.384249;    -1;  ...; 344.013269; 134.026853; 179.79782;  0.0872;  +6.94970;  0.0447; 177.03923;  0.0848;  +6.29350;  0.0488;  28.70730;  0.0262; 123.23033;  0.0599;  +4.97440;  0.0429;  36.28409;  0.0300;    1.877314;  0.0087;   0.815448;  0.0005;   7.589061;  0.0726; 296.642244;   0.1798; 344.019271;   0.0001; 280.661515;  0.1798;  -6.779274;  0.0604;   0.346463;  0.0012; 243.350249;  0.1798; 343.455344;  0.1172;    3.408166;  0.0165;   0.383177;  0.0026;   2.572208;  0.0180;   3.461394;  0.0117; 179.34068;  0.0854;  +8.61761;  0.0407; 123.17484;  0.0858;  32.87771;  0.0610;  30.98251;  0.0244;  30.47498;  0.0101;    52.421079;  0.0001;    -3.042643;  0.0003;  98.5985;    0.01;    52.496683;  0.0001;    -3.232704;  0.0001;  88.5200;    0.01;     0.70;  +0.60;  91.5678; 0.698; 7.82e-05; 88.24;        63.66;   True;   True;    4; UK001L,UK001U,UK0029,UK0042
20220304221925_8ZLHk; 2459643.430159208365; 2022-03-04 22:19:25.755603;    -1;  ...; 344.014561; 150.971997; 128.06654;  0.0312; +30.48521;  0.1899; 122.80670;  0.0665; +11.27980;  0.1803;  11.25670;  0.1580;  85.93213;  0.1203;  +3.30316;  0.0872;  38.20080;  0.1287;    2.690109;  0.0842;   0.651279;  0.0106;   3.375575;  0.0906; 210.338982;   0.0331; 344.029064;   0.0004; 194.368046;  0.0332;  -1.704318;  0.0455;   0.938097;  0.0005; 329.645471;  0.0332; 354.949477;  0.2419;    4.442121;  0.1690;   0.223383;  0.0099;   4.412202;  0.2098;   3.023850;  0.0547; 132.49084;  0.0652; +33.06877;  0.1251; 234.53631;  0.3531;  70.96464;  0.0584;  15.72291;  0.1130;  15.12219;  0.0322;    45.793371;  0.0002;    13.468173;  0.0002;  93.0827;    0.05;    45.827293;  0.0001;    13.536225;  0.0001;  74.0130;    0.02;     1.39;  +2.50;  81.4159; 0.612; 1.13e-04; 11.61;        16.17;   True;   True;    2; HR001V,HR0021
20220304221928_3tofn; 2459643.430195671506; 2022-03-04 22:19:28.906018;    -1;  ...; 344.014597; 133.378014; 144.16680;  0.7874; +17.85614;  0.2060; 140.62858;  0.6993;  +3.42209;  0.3457;  10.03466;  0.1135;  88.46171;  0.0545;  +0.97566;  0.0948;  35.13457;  0.1636;    1.599446;  0.0323;   0.444552;  0.0105;   1.007284;  0.0979; 228.532425;   0.8552; 344.064823;   0.0074; 212.597248;  0.8498;  -0.754772;  0.0799;   0.888409;  0.0017; 311.415882;  0.8498; 341.950273;  0.9294;    2.310482;  0.0630;   0.487248;  0.0152;   2.022809;  0.0610;   4.246810;  0.0627; 144.33989;  0.6766; +23.15710;  0.1909; 158.47788;  1.3188;  61.53833;  0.1592;  15.02982;  0.0757;  14.65763;  0.0606;    50.304725;  0.0001;    -4.147424;  0.0008;  77.9540;    0.04;    50.341123;  0.0005;    -4.169877;  0.0006;  69.8371;    0.06;     0.66;  +1.42;  74.7866; 0.390; 1.90e-04; 41.25;        88.45;   True;   True;    3; UK0021,UK0024,UK003C
20220304222243_GBoRF; 2459643.432445854414; 2022-03-04 22:22:43.321821;    -1;  ...; 344.016853; 151.750138; 134.46110;  0.0597; -22.05172;  0.3111; 144.82057;  0.1977; -37.41508;  0.2748;  17.49021;  0.0166;  94.15200;  0.0340; -16.08200;  0.1127;  38.36469;  0.0584;    2.796533;  0.0372;   0.693074;  0.0043;  17.070111;  0.1154;  47.825538;   0.0990; 164.012860;   0.0000; 211.838398;  0.0990;  12.564873;  0.1024;   0.858329;  0.0002; 312.177598;  0.0990; 353.096214;  0.1724;    4.734736;  0.0744;   0.210753;  0.0045;   4.676602;  0.0919;   2.871267;  0.0243; 136.99360;  0.0637; -16.36767;  0.2721; 195.84867;  0.1227;  26.50691;  0.2545;  20.63601;  0.0140;  18.82376;  0.0064;    45.712466;  0.0001;    13.418394;  0.0001;  93.4120;    0.02;    45.802565;  0.0002;    13.454809;  0.0001;  88.1571;    0.03;     0.66;  +3.44;  91.6647; 0.333; 1.44e-05; 13.70;        14.21;   True;   True;    2; HR001R,HR0021
20220304222509_fpIbS; 2459643.434134179726; 2022-03-04 22:25:09.193128;    -1;  ...; 344.018545; 152.717268; 140.78755;  0.1372; +31.36628;  0.4517; 133.28960;  0.0587; +15.23941;  0.4631;   7.82368;  0.1784;  84.15234;  0.1846;  +3.41627;  0.1736;  34.49838;  0.1127;    1.481177;  0.0202;   0.369707;  0.0089;   3.470129;  0.1787; 218.467978;   0.0414; 344.032808;   0.0007; 202.500786;  0.0413;  -2.157878;  0.1113;   0.933575;  0.0010; 321.516765;  0.0413; 342.856329;  0.3960;    2.028779;  0.0414;   0.546757;  0.0106;   1.802648;  0.0373;   4.503162;  0.0434; 144.90598;  0.0752; +34.48090;  0.2976; 210.94794;  0.4801;  77.41700;  0.2865;  13.55573;  0.1051;  12.77505;  0.0759;    45.568011;  0.0002;    13.771492;  0.0000;  79.2155;    0.05;    45.582940;  0.0001;    13.784131;  0.0001;  70.4497;    0.04;     0.69;  +2.90;  76.8934; 0.265; 3.91e-05; 20.93;        12.88;   True;   True;    2; HR001Q,HR001U
20220304222854_BVJ2z; 2459643.436743838713; 2022-03-04 22:28:54.667665;    -1;  ...; 344.021161; 146.493528; 163.87380;  0.2073;  +1.90093;  0.3645; 164.40998;  0.3273;  -4.58752;  0.2630;  18.89077;  0.1096; 105.61624;  0.0702;  -2.46456;  0.1386;  35.15329;  0.1496;    1.603276;  0.0332;   0.616139;  0.0062;   2.893393;  0.1612;  89.745854;   0.6342; 164.001118;   0.0013; 253.746972;  0.6354;   2.893364;  0.1618;   0.615435;  0.0020; 270.273067;  0.6354; 335.973085;  0.8299;    2.591117;  0.0644;   0.485503;  0.0137;   2.030080;  0.0643;   4.119246;  0.0590; 163.98834;  0.1883;  +5.17229;  0.3056; 155.25781;  0.1504;  44.32896;  0.3419;  22.01002;  0.0947;  20.95084;  0.0309;    48.336012;  0.0002;     6.605738;  0.0003;  86.4977;    0.03;    48.415612;  0.0001;     6.550479;  0.0003;  76.8664;    0.05;     0.66;  -0.10;  78.3120; 0.850; 1.63e-04; 43.73;        56.50;   True;   True;    2; FR0006,FR000G
20220304223304_JlRUY; 2459643.439634198789; 2022-03-04 22:33:04.394775;   859;  MTB; 344.024059; 155.059921; 209.59759;  0.0391; +28.99626;  0.1503; 194.98311;  0.0851; +38.06709;  0.1387;  43.68541;  0.0513; 141.00201;  0.1340; +40.46241;  0.0936;  41.50556;  0.0800;   13.368783;  1.1955;   0.962908;  0.0035;  65.368448;  0.0502; 271.100310;   0.4484; 344.023593;   0.0000; 255.123904;  0.4484; -65.345416;  0.0336;   0.495879;  0.0030; 268.898637;  0.4484; 359.210468;  0.1248;   26.241687;  2.3887;   0.020164;  0.0031;  48.880816;  6.4294;   0.749778;  0.0374; 209.44814;  0.0372; +29.16499;  0.1472;  91.85447;  0.1742;  44.74202;  0.0877;  45.30741;  0.0497;  44.66554;  0.0496;    45.654014;  0.0001;    14.128721;  0.0001; 105.3862;    0.02;    45.657308;  0.0002;    13.979393;  0.0001;  93.6894;    0.02;     0.38;  +1.20;  98.6969; 0.572; 1.62e-05; 85.74;        30.14;   True;   True;    2; HR001U,IT0001
20220304223501_bL0n7; 2459643.440989105962; 2022-03-04 22:35:01.458755;    -1;  ...; 344.025417; 147.967027; 164.94085;  1.0029; +42.91776;  0.7538; 147.79510;  0.6327; +33.30421;  0.9000;  16.26238;  0.4566;  94.47707;  0.4510; +13.88561;  0.5256;  37.20534;  0.3222;    2.191309;  0.1434;   0.616662;  0.0233;  14.779767;  0.5784; 233.199721;   0.7691; 344.028454;   0.0001; 217.228175;  0.7691; -11.786727;  0.4342;   0.840013;  0.0037; 306.795982;  0.7691; 348.855306;  1.1396;    3.542605;  0.2876;   0.303843;  0.0266;   3.243814;  0.3268;   3.362807;  0.1364; 165.08210;  0.9263; +43.53961;  0.6846; 120.56282;  3.5680;  75.65553;  0.4456;  19.76087;  0.3802;  19.15226;  0.2722;    52.245195;  0.0003;     6.546813;  0.0004;  80.9814;    0.01;    52.250186;  0.0003;     6.533036;  0.0005;  76.6580;    0.05;     0.24;  +1.65;  78.9256; 0.476; 3.56e-05; 54.00;        83.45;   True;   True;    2; DE0001,NL000C
